Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Season,Position
Lachlan Timothy Dent,ILL,12,4.1,1.4,0.6,1.6,0.368,0.2,0.6,0.429,0,0,0,0.2,0.2,0.3,0.7,0.2,0,0.3,0.4,2021,PG
Bryce Cotton,PER,33,34.6,24,7.9,18.6,0.427,3.2,8.3,0.387,4.9,5.8,0.848,0.5,3.7,4.2,4.3,1.6,0,2.2,1.3,2020,PG
John Roberson,SEM,28,30,20,6.7,14.5,0.462,4,9,0.438,2.6,2.8,0.924,0.3,1.9,2.2,5.5,0.8,0,2.3,2.5,2020,PG
Corey Webster,NZB,11,30.8,19.5,7.4,16.7,0.443,3,7.5,0.398,1.6,1.8,0.9,1,2.8,3.8,4.2,0.7,0.4,2.3,2.2,2020,PG
Dzherom Rendl,ADE,28,29.9,19,7.1,15.5,0.457,1.5,4.7,0.331,3.2,3.5,0.913,0.4,2.6,3.1,4.4,0.7,0,2.3,2.1,2020,PG
Casper Ware,SYD,34,30.2,17.4,5.7,15.5,0.364,2.5,9,0.279,3.6,4.7,0.772,0.4,1.9,2.4,3.6,0.6,0.1,2.1,2.1,2020,PG
LaMelo Ball,ILL,12,31.2,16.9,6.2,16.4,0.377,1.7,6.6,0.25,2.8,3.9,0.723,1.8,5.5,7.4,6.7,1.7,0.2,2.5,2.6,2020,PG
Scott Machado,CRN,31,32.7,16.7,5.8,12.8,0.454,2,5,0.403,3.1,3.5,0.87,0.5,3.5,3.9,7.6,1.4,0,3.2,2.7,2020,PG
Nathan Sobey,BRI,28,27.4,16.5,5.8,14.1,0.414,1.7,5.3,0.327,3.1,3.3,0.935,0.7,3.3,3.9,3.4,0.6,0.1,1.8,2.1,2020,PG
Sek Henry,NZB,26,28.7,13.9,4.9,11.2,0.44,2.5,6.5,0.382,1.6,2.2,0.727,0.6,1.7,2.3,3.6,1.1,0.3,1.2,2.3,2020,PG
Jason Cadee,BRI,28,23.7,11.1,3.5,8,0.44,2.5,5.9,0.424,1.5,2,0.754,0.4,1.7,2.2,2.3,0.6,0,0.6,1,2020,PG
Kyle Adnam,SEM,28,16.9,9,3.5,6.8,0.51,0.6,1.8,0.314,1.5,1.7,0.875,0.4,0.6,0.9,2.6,0.7,0,1.4,1.5,2020,PG
Mitchell Norton,PER,34,19.8,7.2,2.5,6.3,0.39,0.6,1.9,0.317,1.7,2,0.818,0.7,1.3,2,2.7,0.7,0,1,2.4,2020,PG
Adam Gibson,SEM,21,21,6.9,2.5,5.5,0.458,1.5,3.3,0.457,0.3,0.4,0.778,0.5,1.8,2.3,2.1,0.7,0,1.2,2.4,2020,PG
Shea Ili,MEL,29,17.9,6.3,2.2,5.3,0.41,0.8,2.3,0.353,1.1,1.5,0.767,1,1.1,2.1,2.2,0.9,0.1,1.3,2.4,2020,PG
Jarrad Weeks,NZB,25,16.6,6,2,5.3,0.382,1.2,3.1,0.395,0.7,0.9,0.739,0.2,1.6,1.8,1.4,0.3,0,0.9,1.7,2020,PG
Emmett Naar,ILL,25,17.8,5.7,2.3,4.8,0.487,0.5,1.4,0.371,0.4,0.5,0.846,0.4,1.1,1.5,3.5,0.6,0,1.1,0.8,2020,PG
Angus Glover,ILL,27,13.5,5.3,1.9,4.4,0.436,0.5,1.9,0.275,0.9,1.3,0.714,0.9,1.4,2.3,1.2,0.5,0.1,0.8,1.8,2020,PG
Jarrod Kenny,CRN,30,14.3,3.3,1.2,2.7,0.438,0.6,1.6,0.375,0.3,0.4,0.769,0.4,1.1,1.5,1,0.4,0,0.8,1.7,2020,PG
Lachlan Timothy Dent,ILL,2,3.7,2.5,1,2,0.5,0.5,1,0.5,0,0,0,0,0,0,0,0,0,0,0.5,2020,PG
Alex Mudronja,ADE,4,3.1,2.2,0.7,1.4,0.5,0,0.5,0,0.7,1,0.75,0.2,0.2,0.5,0.2,0,0,0.5,0.7,2020,PG
William Hickey,SEM,2,1.1,1.5,0.5,2,0.25,0,1,0,0.5,0.5,1,0,0,0,0,0,0,0,0,2020,PG
Bijan Johnson,ADE,4,2,0.9,0.2,0.7,0.333,0,0.2,0,0.5,0.5,1,0,0.2,0.2,0,0.7,0,0.2,0.2,2020,PG
Anthony Fisher,CRN,15,3.6,0.8,0.2,1.3,0.158,0,0.4,0,0.4,0.5,0.857,0.2,0.2,0.4,0.1,0,0,0.1,0.5,2020,PG
Michael Harris,ADE,2,8.2,0.5,0,2.5,0,0,1.5,0,0.5,1,0.5,0,0.5,0.5,0.5,0.5,0,1,0.5,2020,PG
Tad Dufelmeier Jr.,CRN,5,2,0.2,0,0.6,0,0,0.2,0,0.2,0.4,0.5,0.2,0,0.2,0.4,0,0,0.2,0.6,2020,PG
Ben Ayre,ADE,2,2,0,0,0.9,0,0,0.5,0,0,0,0,0,0.5,0.5,0.5,0,0,0.9,0,2020,PG
Hunter-Jack Madden,SYD,8,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,2020,PG
Bryce Cotton,PER,31,35.2,22.6,7.3,18,0.404,2.9,8.4,0.352,5.1,5.9,0.86,0.7,3.4,4.1,3.9,1.4,0.1,2,1.2,2019,PG
Melo Trimble,CRN,28,34.4,22.5,7.4,16.4,0.45,2.7,6.5,0.415,5,6,0.833,0.6,3.5,4.1,4.6,1.1,0.2,3.3,2.5,2019,PG
Casper Ware,MEL,34,34.2,19.2,6.5,16.4,0.399,3,8.5,0.35,3.2,3.7,0.856,0.7,2.5,3.2,4.3,0.8,0.1,2.7,2.3,2019,PG
Dzherom Rendl,SYD,29,33,18.5,6.9,15.6,0.445,1.5,3.7,0.413,3.1,3.6,0.87,0.4,2.5,2.9,4.1,0.7,0,2.8,2.1,2019,PG
Nathan Sobey,ADE,28,31.3,15.2,5.3,11.6,0.461,1.3,3.9,0.33,3.2,3.7,0.873,0.7,4,4.7,4.9,1.1,0.2,2.8,1.4,2019,PG
Jarrad Weeks,NZB,28,20.4,10,3.4,7.6,0.447,1.7,4.3,0.402,1.5,1.8,0.824,0.3,1.4,1.7,2.3,0.4,0.3,1.3,2.2,2019,PG
Mitchell Norton,PER,27,20,8.6,2.6,6.3,0.412,0.7,2.1,0.304,2.7,3.2,0.845,0.4,1.7,2.1,2.7,0.7,0,1.3,2.2,2019,PG
Jason Cadee,BRI,30,27.3,8.4,2.9,7.5,0.386,1.8,4.9,0.361,0.9,1.2,0.743,0.1,2,2.2,4.1,1.1,0,1.4,2,2019,PG
Shea Ili,NZB,27,23.2,7.8,2.9,6.7,0.429,0.5,2.4,0.231,1.5,1.9,0.769,1.1,1.4,2.5,2.8,0.8,0.4,1.7,2.2,2019,PG
Cedric Jackson,ILL,28,23.2,7.7,3.2,7.5,0.424,0.1,0.8,0.136,1.3,2.3,0.561,0.9,2.1,3,3.7,1.1,0.1,2,2.5,2019,PG
Adris DeLeon,ADE,9,19.5,7.4,2.3,7,0.333,1.2,3.5,0.333,1.5,1.9,0.778,1,1.6,2.6,2.8,0.9,0.1,1,1.8,2019,PG
Kyle Adnam,SYD,30,15.4,6.9,2.3,5.9,0.392,1,2.6,0.373,1.3,1.5,0.907,0.3,0.9,1.2,1.4,0.3,0.1,1,1.9,2019,PG
Adam Gibson,BRI,30,19.5,6.3,2.1,5.1,0.407,1.2,3.1,0.385,1,1.1,0.853,0.4,1.8,2.2,2.7,0.7,0,1,1.8,2019,PG
Jeremy Kendle,BRI,18,9.8,6.1,2.3,5.2,0.441,0.4,1.5,0.259,1.1,1.2,0.864,0.3,0.9,1.2,1.1,0.5,0.1,0.6,1.3,2019,PG
Jarrod Kenny,CRN,28,18.2,4.9,1.7,4.2,0.419,1,2.2,0.443,0.5,0.6,0.722,0.6,1.7,2.3,1.7,0.4,0.1,0.9,1.6,2019,PG
Emmett Naar,ILL,28,16.4,4.1,1.6,3.9,0.402,0.5,1.3,0.395,0.4,0.6,0.765,0.4,1,1.4,2.9,0.5,0,0.9,0.6,2019,PG
Brendan Teys,ADE,28,12.2,3.3,1.3,2.9,0.442,0.4,1.2,0.333,0.4,0.6,0.611,0.4,0.8,1.1,0.7,0.6,0,0.7,1.5,2019,PG
