Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,Season,Position
Kyle Adnam,SEM,27,20.2,8.4,2.4,7.2,0.342,1,3.3,0.311,2.5,2.9,0.859,0.2,1.1,1.4,2.6,0.4,0,1.7,2.3,2023,SG
Angus Glover,SYD,31,16.6,7,2.5,4.7,0.527,1.2,2.8,0.432,0.9,1.1,0.771,0.6,2.3,2.9,1.2,0.5,0.1,0.6,1.2,2023,SG
Corey Webster,PER,29,27.7,14.2,5.4,11.9,0.452,1.8,4.6,0.394,1.7,2.3,0.754,0.4,2.6,3,2,0.5,0.1,1.6,2,2023,PG
Sean MacDonald,JACK,32,21.1,6.5,2.5,6.2,0.405,1.2,3.2,0.364,0.4,0.6,0.611,0.6,1.5,2.1,1.5,0.5,0,0.9,1.8,2023,SG
Rayan Rupert,NZB,28,17.3,6.2,2.1,6,0.35,0.6,2.4,0.234,1.5,2,0.709,0.5,1.7,2.2,0.9,0.7,0.2,1.1,2,2023,SG
Daniel Grida,ILL,14,17.3,5.2,2,4.5,0.444,0.4,1.7,0.261,0.7,1,0.714,1.1,2.8,3.9,0.4,0.7,0.3,0.6,1.7,2023,SG
Jack Andrew,PER,1,1.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2023,C
Malcolm Bernard,SEM,3,15,4.7,2,4.4,0.462,0.7,1.3,0.5,0,0,0,0.7,1.7,2.4,0.3,1,0,1.7,1,2023,SG
Samuel McDaniel,JACK,14,11.7,4.4,1.6,3.3,0.477,0.2,1,0.231,1,1.3,0.824,0.4,1.7,2.1,0.4,0.7,0,0.7,1.3,2023,SG
Shaun Bruce,SYD,36,16.2,4.2,1.4,3.6,0.391,1,2.8,0.352,0.4,0.6,0.696,0.4,1.6,2,2.1,0.3,0.1,1,1.5,2023,SG
Junior Madut,SEM,28,15.1,4,1.6,4.1,0.395,0.5,2,0.273,0.2,0.5,0.429,0.9,1.4,2.3,0.8,0.4,0.1,0.6,1.7,2023,SG
Cameron Gliddon,NZB,35,11.3,3.9,1.3,2.9,0.443,1.2,2.7,0.435,0.2,0.3,0.7,0.2,1.2,1.4,0.4,0.4,0.2,0.2,1.2,2023,SG
Jesse Wagstaff,PER,30,13.2,5.1,1.5,3.7,0.411,0.8,2.1,0.387,1.2,1.4,0.814,0.8,1.5,2.4,1.2,0.4,0.1,0.6,2,2023,SF
Gabe Hadley,CRN,1,3.1,3.1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1,2023,SG
Rasmus Bach,BRI,18,13.6,3.1,1,2.8,0.353,0.2,1.2,0.136,1,1.3,0.783,0.3,1.4,1.7,0.7,1,0,0.8,1.5,2023,SG
Jonah Antonio,CRN,26,8.8,3,1,2.9,0.355,0.8,2.3,0.328,0.2,0.2,0.8,0.5,0.9,1.4,0.1,0.2,0.3,0.2,0.7,2023,SG
Lat Mayen,CRN,16,11.7,2.9,1.1,3.1,0.34,0.6,2,0.281,0.2,0.2,1,0.5,1.7,2.2,0.1,0.3,0.1,0.7,0.6,2023,SG
Mirko Djeric,CRN,15,10.4,1.7,0.5,1.4,0.333,0.3,1.1,0.235,0.5,0.8,0.667,0.3,1,1.3,0.7,0.3,0,0.4,0.9,2023,SG
Kody Stattmann,BRI,18,7.2,1.6,0.5,1.6,0.333,0.2,0.7,0.25,0.3,0.4,0.857,0.2,0.4,0.5,0.3,0.1,0.1,0.4,0.4,2023,SG
Zac Triplett,MEL,9,3.6,1.1,0.3,1.1,0.3,0.3,1.1,0.3,0.1,0.2,0.5,0.1,0.3,0.4,0.2,0.1,0,0.1,0.6,2023,SG
Koen Sapwell,BRI,3,2.5,0.6,0,0.6,0,0,0,0,0.6,0.6,1,0,0,0,0,0,0,0,0,2023,SG
Kevin White,ILL,5,5.2,0.6,0.2,0.6,0.333,0.2,0.2,1,0,0,0,0,0.6,0.6,0.4,0,0,0.6,0.8,2023,SG
Joshua Duach,MEL,4,2.1,0.3,0,0.8,0,0,0.3,0,0.3,0.5,0.5,0,0,0,0,0,0,0.3,0.3,2023,SG
Josh Adams,JACK,34,27.7,17.9,6.2,15,0.41,2.2,6.6,0.339,3.4,4.3,0.789,0.5,3,3.5,2,1,0.2,2,2.5,2022,SG
Tahjere McCall,CRN,22,31.3,15.9,5.8,14.1,0.412,1,4,0.258,3.3,5,0.652,1.4,4.3,5.6,5.4,2,0.4,3.5,3.1,2022,SG
Chris Goulding,MEL,28,28.6,14.7,4.8,12.4,0.388,3.2,9.1,0.349,1.9,2.4,0.824,0.3,1.9,2.2,1.8,0.7,0.1,1.3,2.1,2022,SG
Hugo Besson,NZB,25,27.4,14.3,4.8,12.5,0.386,2,6.4,0.308,2.7,3.4,0.795,0.5,3.5,4.1,2.3,0.6,0,1.8,2.8,2022,SG
Antonius Cleveland,ILL,30,29.4,14.2,5.5,11.6,0.471,0.5,2.3,0.217,2.8,3.8,0.722,1.9,4.5,6.4,2.1,1.8,1.1,1.4,2.9,2022,SG
Ian Clark,SYD,16,24.1,13.8,5,10.7,0.465,2.2,5.1,0.427,1.7,2,0.848,0.4,1.9,2.3,2,0.7,0.1,1.9,1.9,2022,SG
Sunday Dech,ADE,23,30.4,12.5,4.4,11.8,0.372,1.9,5.6,0.331,1.9,2.9,0.662,1.4,2.9,4.3,2.3,1,0.2,1.2,2.2,2022,SG
Dejan Vasiljevic,SYD,31,25,12.2,4.3,10.3,0.412,2,5.6,0.356,1.7,2,0.841,0.3,2.4,2.7,1.4,0.3,0.2,0.9,1.3,2022,SG
Xavier Rathan-Mayes,ILL,30,23.8,10.4,4.3,10.1,0.427,0.7,3.1,0.217,1.1,1.7,0.635,0.7,3.7,4.4,4,0.9,0.2,2.3,2.1,2022,SG
Jason Cadee,BRI,28,29.8,10.2,3.3,8,0.414,1.8,4.9,0.374,1.8,2.1,0.836,0.6,1.6,2.2,4.8,0.8,0,2.3,2.1,2022,SG
Mitchell Norton,PER,18,23.8,9.6,3.3,6.5,0.5,0.8,2.2,0.35,2.3,3.1,0.732,1.1,1.4,2.4,3.5,0.5,0.2,1.1,2,2022,SG
Ousmane Dieng,NZB,23,20.8,9.1,3.6,9,0.398,1.2,4.3,0.271,0.8,1.2,0.667,0.5,2.7,3.2,1,0.6,0.3,1.4,1.5,2022,SG
Izayah Mauriohooho Le'Afa,SEM,26,28.6,8.8,3,8.4,0.355,1.9,5.5,0.34,1,1.1,0.862,0.6,2.2,2.8,2.1,0.8,0.2,1.1,2.2,2022,SG
Shea Ili,MEL,31,23.6,8.5,2.7,6.1,0.443,1,2.5,0.413,2,2.7,0.765,1.1,1.7,2.8,3.6,1.4,0.1,1.7,2,2022,SG
Anthony Drmic,BRI,26,21.6,7.4,2.8,6.8,0.416,1,3.4,0.303,0.7,1.4,0.486,1,2.3,3.3,1.7,0.5,0.1,0.8,2.3,2022,SG
Angus Glover,SYD,30,19.4,5.2,1.9,4.4,0.43,0.8,2.5,0.329,0.6,1,0.633,0.5,2.5,2.9,1.7,0.5,0.2,0.9,1.3,2022,SG
Cameron Gliddon,SEM,22,16.8,4.7,1.6,4,0.404,1.3,3.4,0.368,0.2,0.2,0.8,0.1,2.3,2.4,0.9,0.7,0.1,0.3,1.2,2022,SG
Tom Digbeu,BRI,19,12.3,4.5,1.5,3.3,0.46,0.3,0.7,0.385,1.2,1.7,0.727,0.4,1.1,1.5,1.1,0.5,0.3,0.9,1.2,2022,SG
Tanner Krebs,BRI,28,13.9,4.3,1.7,4.2,0.4,0.6,1.9,0.309,0.3,0.5,0.6,0.3,1.7,2,0.6,0.4,0.1,0.9,1.4,2022,SG
Yudai Baba,MEL,10,18.1,3.9,1.4,4.5,0.311,0.4,2.5,0.16,0.7,0.8,0.875,0.3,1.2,1.5,0.7,0.3,0.2,1.1,1.3,2022,SG
Mojave King,ADE,26,10,3.7,1.3,3.5,0.378,0.6,1.8,0.348,0.4,0.7,0.611,0.4,0.7,1.1,0.7,0.3,0.2,0.6,0.7,2022,SG
Shaun Bruce,SYD,27,19.2,3.7,1.3,4.5,0.296,0.5,2.3,0.222,0.5,0.6,0.875,0.1,1.9,2,2.4,0.4,0,1.2,1.9,2022,SG
Mirko Djeric,CRN,9,17.7,3.6,1.2,4.7,0.25,1.2,4.3,0.275,0,0,0,0.1,1.1,1.2,1.3,0.1,0.1,0.8,1.2,2022,SG
Marshall Nelson,CRN,10,8.9,3.3,1.2,3.4,0.353,0.6,2.1,0.286,0.3,0.6,0.5,0.1,0.9,1,1,0.1,0.1,0.5,1.2,2022,SG
Kevin White,PER,21,13.2,3.2,1.1,3.1,0.338,0.8,2.5,0.308,0.3,0.4,0.875,0.2,1,1.2,1.8,0.3,0,0.9,1.5,2022,SG
Rasmus Bach,NZB,18,14.5,2.9,1,2.4,0.395,0.7,2,0.371,0.3,0.3,0.833,0.4,1.4,1.8,0.6,0.2,0,0.4,1.7,2022,SG
Nikita Mikhailovskii,JACK,2,3.2,1.1,0.5,1.1,0.5,0,0.5,0,0,0,0,0,0,0,0.5,0,0,1.1,1.1,2022,SG
Koen Sapwell,SEM,2,1.9,1,0.5,1.5,0.333,0,0.5,0,0,0,0,0,0,0,0,0.5,0,0,0.5,2022,SG
William Hickey,MEL,7,1.8,0.9,0.3,0.9,0.286,0.1,0.4,0.333,0.3,0.3,1,0.1,0.3,0.4,0.1,0,0,0.4,0.1,2022,SG
Sean MacDonald,JACK,8,3.6,0.5,0.3,0.9,0.286,0,0.4,0,0,0,0,0,0.5,0.5,0.5,0.1,0,0.3,0.3,2022,SG
Jack Purchase,PER,10,3.4,0.3,0.1,0.9,0.111,0.1,0.9,0.111,0,0,0,0.1,0.3,0.4,0,0,0,0.1,0.4,2022,SG
Mitch Clarke,PER,4,1.8,0,0,0.7,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0.5,0.7,2022,SG
Bryce Cotton,PER,32,35.5,24.2,7.8,19.1,0.407,2.8,8.7,0.319,5.8,6.5,0.9,0.6,2.3,2.9,5.9,1.5,0.1,1.8,1.3,2021,SG
Tyler Harvey,ILL,37,32.5,19.9,7,16.8,0.416,3.3,8.8,0.379,2.6,3.2,0.815,0.4,3.2,3.6,3,1.5,0.1,2.1,1.9,2021,SG
Tai Webster,NZB,29,31.3,17.4,6.5,15.9,0.411,2,5.4,0.379,2.2,3.9,0.577,0.9,4,4.9,4.9,1.2,0.2,3.5,3.2,2021,SG
Chris Goulding,MEL,36,27.2,15.5,5.1,12.5,0.405,3.4,8.7,0.386,2,2.2,0.9,0.4,2.2,2.5,2,0.9,0.2,1.2,1.7,2021,SG
Dejan Vasiljevic,SYD,21,27.7,15.2,5.6,12,0.465,2.3,5.6,0.415,1.8,2.2,0.848,0.4,3.1,3.5,1.8,0.5,0.1,0.8,1.4,2021,SG
Levi Randolph,NZB,15,30,15.1,5.8,13.4,0.431,1.9,5.7,0.333,1.6,2,0.828,0.9,2.6,3.5,1.3,1.2,0.1,1.4,2.7,2021,SG
Lamar Patterson,NZB,6,23.9,11,3.7,10.2,0.367,0.7,3,0.222,2.9,4.9,0.586,0.7,2.9,3.6,1.9,1,0.3,2.9,2.4,2021,SG
Cameron Gliddon,SEM,35,28.5,10.5,3.5,8.1,0.43,2.4,6.2,0.388,1,1.2,0.878,0.4,3.3,3.7,1.7,1.5,0.3,1,1.7,2021,SG
Jason Cadee,BRI,36,27.1,9.2,2.9,8,0.366,1.9,5.7,0.329,1.5,1.8,0.833,0.2,2.1,2.3,3.8,0.9,0,1,1.5,2021,SG
Mirko Djeric,CRN,34,23.6,8.8,2.8,7.5,0.378,2,5.7,0.347,1.1,1.3,0.844,0.3,2,2.3,2.2,0.3,0.1,1.2,1.1,2021,SG
Sunday Dech,ADE,36,31.3,8.7,3.2,8.3,0.388,1.4,4.1,0.333,0.9,1.2,0.721,1.1,3,4.1,2.1,1,0.1,1.4,2.4,2021,SG
Yudai Baba,MEL,36,19.6,7.6,2.7,6,0.45,0.8,2.5,0.33,1.4,1.7,0.855,0.4,1.7,2.2,1.3,0.9,0.2,1,1.6,2021,SG
Shaun Bruce,SYD,35,24.7,6.5,2.3,6.7,0.336,1.2,3.8,0.319,0.8,0.9,0.903,0.3,2.8,3.1,3.6,0.7,0.2,1.4,2.5,2021,SG
Mojave King,CRN,30,16.6,6.4,2.3,5.9,0.387,1.1,3.4,0.33,0.7,1,0.69,0.8,1.7,2.5,0.5,0.3,0.2,0.9,1.1,2021,SG
Tad Dufelmeier Jr.,CRN,21,15.7,6.2,2.1,5.7,0.371,0.6,2.2,0.295,1.3,1.9,0.692,0.6,1.8,2.4,2.4,0.8,0,1.4,2.1,2021,SG
Fabijan Krslovic,CRN,32,17.6,5.1,2.2,5.1,0.42,0.4,1.8,0.232,0.4,0.6,0.684,1.6,1.9,3.5,0.8,0.7,0.5,0.8,2.1,2021,SG
Rasmus Bach,NZB,36,15.9,4.9,1.6,3.7,0.438,1.1,2.7,0.404,0.6,0.7,0.8,0.5,1.2,1.7,0.6,0.5,0.2,0.3,1.8,2021,SG
Tanner Krebs,BRI,24,15.2,4.8,1.8,4.4,0.413,0.6,2.1,0.275,0.6,0.7,0.824,0.6,1.3,1.9,0.8,0.1,0.1,0.3,0.9,2021,SG
Kevin White,PER,39,13.3,3.5,1.3,3.4,0.383,0.8,2.4,0.348,0.1,0.1,0.6,0.4,1,1.4,1.5,0.4,0,0.5,1.7,2021,SG
Angus Glover,SYD,2,12.7,3.5,1.5,2.5,0.6,0.5,1.5,0.333,0,0,0,1.5,1.5,3,2.5,0,0,0.5,1.5,2021,SG
Daniel Grida,ILL,18,11.6,3.3,1.2,2.9,0.423,0.3,1.5,0.185,0.6,1,0.588,1,1.4,2.4,0.4,0.7,0.1,0.5,1,2021,SG
Brendan Teys,ADE,24,7.1,2.5,1.1,2.5,0.441,0.1,0.5,0.25,0.2,0.2,1,0.2,0.1,0.3,0.5,0.3,0,0.5,0.4,2021,SG
Jack Purchase,ADE,9,4,1.7,0.6,0.9,0.625,0.6,0.8,0.714,0,0,0,0,0.5,0.5,0.2,0.1,0,0.2,0.9,2021,SG
Kendall Stephens,SEM,13,6.1,1.6,0.6,1.7,0.364,0.4,1,0.385,0,0,0,0.2,0.4,0.5,0.2,0,0.1,0.2,0.5,2021,SG
Samuel Short,MEL,18,4.5,1.1,0.4,0.9,0.412,0.2,0.4,0.5,0.1,0.2,0.667,0.4,0.3,0.8,0.4,0.1,0,0.4,0.3,2021,SG
Alex Mudronja,ADE,17,5.3,1,0.3,1.2,0.25,0.2,0.7,0.273,0.2,0.3,0.8,0.3,0.8,1.1,0.6,0.1,0.1,0.4,0.4,2021,SG
Dexter Kernich-Drew,SYD,8,6.7,0.9,0.2,0.9,0.286,0.1,0.7,0.167,0.2,0.5,0.5,0,0.1,0.1,0.1,0.1,0,0.2,0.7,2021,SG
Jamaal Robateau,BRI,2,1.4,0,0,1,0,0,0.5,0,0,0,0,0,1,1,0,0,0,0.5,0,2021,SG
Glen Rice,NZB,3,25.3,24.4,7.8,17.9,0.436,2,7.2,0.273,6.8,9.1,0.75,2,4.9,6.8,3.9,1.3,0,1.3,3.3,2020,SG
Melo Trimble,MEL,31,30.1,19.7,6.4,14.5,0.443,2,5.8,0.346,4.8,6,0.803,0.7,2.6,3.3,4.3,1.3,0,2.6,2.8,2020,SG
D.J. Newbill,CRN,30,33.4,18.6,6.5,12.7,0.508,2.3,5.5,0.417,3.4,4,0.85,0.6,2.4,3,3.1,1.3,0.1,1.8,2.4,2020,SG
Aaron Brooks,ILL,7,28,17.6,6.5,14.1,0.46,2,5.6,0.35,2.7,3.5,0.76,0.6,2.4,3,4.1,0.8,0.3,2.4,3.1,2020,SG
Thomas Abercrombie,NZB,28,30.8,12.3,4,8,0.498,1.9,4.2,0.465,2.4,2.7,0.905,1.1,3.4,4.4,1.3,0.8,0.4,1,2.5,2020,SG
Ben Madgen,SEM,28,28,12,4.3,10.3,0.416,1.6,4.9,0.329,1.8,2,0.877,0.7,4,4.7,1.8,0.5,0.1,1.3,1.9,2020,SG
Didi Louzada,SYD,26,22.2,9.6,3.6,8.9,0.399,1.5,4.6,0.331,0.9,1.4,0.676,0.5,2.9,3.4,1.5,0.6,0.3,1.3,1.8,2020,SG
Sunday Dech,ILL,27,23.2,9.3,3.5,9,0.388,1.1,3.3,0.333,1.2,1.9,0.66,1.7,2.2,3.9,1.5,0.8,0.2,1.1,2.2,2020,SG
Kevin Lisch,SYD,13,19.9,8.6,2.6,5.8,0.447,1.8,4.4,0.421,1.6,1.7,0.955,0.2,1.5,1.6,1.5,0.7,0,0.8,1.7,2020,SG
Mitchell McCarron,MEL,31,31.5,8.6,3.2,6.7,0.469,0.9,2.3,0.38,1.4,1.6,0.88,1.2,4.9,6.1,3.1,1.1,0.4,0.8,1.8,2020,SG
Ramone Moore,ADE,20,21,7.6,3,7.6,0.397,0.3,1.1,0.304,1.2,1.3,0.923,0.9,1.9,2.7,2.5,0.5,0.1,1.9,2.1,2020,SG
Devondrick Walker,SEM,8,18.9,7.4,2.8,7.8,0.355,1.3,4.8,0.263,0.6,0.8,0.833,0.1,2.3,2.4,0.9,0.8,0,0.8,1.9,2020,SG
Mirko Djeric,CRN,29,24.9,7.3,2.3,5.6,0.416,1.7,4.4,0.397,0.9,1,0.9,0.4,2.6,3,2,0.7,0.1,0.7,1.5,2020,SG
Cameron Gliddon,BRI,27,20.1,7,2.4,5.2,0.465,1.8,4.2,0.425,0.4,0.4,0.917,0.2,1.9,2.1,1.5,0.6,0.1,0.8,1.2,2020,SG
Shaun Bruce,SYD,34,18.7,7,2.5,5.8,0.431,1.2,3.7,0.32,0.8,0.8,0.931,0.1,1.2,1.3,3,0.4,0,1,1.7,2020,SG
Taylor Braun,BRI,28,23.3,6.9,2.5,6,0.417,1.1,3.5,0.303,0.8,1.1,0.767,0.4,2.1,2.6,2.3,0.6,0.1,0.4,2.2,2020,SG
Xavier Cooks,SYD,20,24.2,6.5,2.7,6.3,0.434,0.2,1.6,0.125,0.8,1.8,0.472,2.5,6.3,8.8,1.8,0.4,1.2,1.3,1.8,2020,SG
Deshon Taylor,SYD,22,14.9,6.5,1.9,4.7,0.396,1.2,3,0.382,1.6,1.9,0.857,0.1,1,1.1,0.9,0.2,0.1,0.7,1.4,2020,SG
Darington Hobson,ILL,13,23.1,6.1,2.3,7.9,0.293,0.6,3.6,0.174,0.9,1.3,0.688,1,3.3,4.4,4,1.2,0.2,2.4,2.1,2020,SG
Brendan Teys,ADE,27,18.3,5,2,4.7,0.417,0.4,0.9,0.4,0.7,0.8,0.909,0.9,0.8,1.6,1.4,0.5,0,0.5,1.8,2020,SG
Damian Martin,PER,27,20.1,3.5,1.4,4.8,0.282,0.5,2.7,0.186,0.3,0.4,0.8,1.3,2.1,3.4,2.9,1.4,0.1,1,2,2020,SG
Kevin White,ADE,26,8.7,1.7,0.6,1.3,0.429,0.4,1,0.444,0.1,0.1,1,0.5,0.7,1.2,1.1,0.2,0.1,0.3,1.2,2020,SG
Samuel Short,MEL,8,2.3,0.7,0.2,0.7,0.333,0.1,0.1,1,0.1,0.2,0.5,0.1,0.1,0.2,0.2,0.4,0,0.1,0.5,2020,SG
Lochlan Hutchison,SYD,18,1.2,0.4,0.2,0.6,0.273,0.1,0.3,0.2,0.1,0.1,0.5,0,0.1,0.1,0.1,0.1,0,0.2,0.2,2020,SG
Terry Li,NZB,3,1.1,0,0,0.3,0,0,0.3,0,0,0,0,0,0,0,0.3,0,0,0.3,0.3,2020,SG
Lamar Patterson,BRI,24,29,18,6.3,14.3,0.439,1.6,4.6,0.349,3.9,4.8,0.807,1.2,5.2,6.3,3.8,1.4,0.1,2.7,3.2,2019,SG
Chris Goulding,MEL,31,27.9,14.6,5.1,13,0.392,2.9,8.2,0.355,1.5,1.7,0.849,0.6,1.8,2.4,2.5,0.7,0.1,1.5,2.8,2019,SG
Kevin Lisch,SYD,29,32.1,14.5,4.9,11.1,0.441,2.3,5.9,0.388,2.5,3.2,0.769,0.4,2.1,2.5,3.2,1.4,0.1,1,1.9,2019,SG
Mitchell McCarron,MEL,34,30.7,11.8,4.2,8.7,0.485,1.1,3,0.384,2.2,2.6,0.86,1.2,4,5.2,2.8,1.1,0.3,1.3,1.9,2019,SG
Jordair Jett,ILL,28,23.7,11.6,4.4,9.9,0.446,0.9,2.9,0.294,1.9,3.1,0.6,0.4,2.4,2.8,2.7,1.6,0.3,1.7,2,2019,SG
Corey Webster,NZB,27,22.3,10.4,3.8,10.1,0.377,1.8,5.2,0.352,1,1.2,0.788,0.3,1.7,2,2.4,0.7,0.2,1.3,2.3,2019,SG
Devon Hall,CRN,28,28.9,9.2,3.2,9,0.363,1.5,4.5,0.339,1.2,1.6,0.75,1,3.4,4.4,2.5,0.7,0.3,1.3,2,2019,SG
Ramone Moore,ADE,19,25.9,8.6,3.4,7.8,0.434,0.5,1.8,0.306,1.3,2,0.65,1,2.3,3.3,4,0.9,0.3,2.1,2.6,2019,SG
Tim Coenraad,ILL,27,16.9,8.5,3,6.4,0.467,1.4,3.5,0.392,1.2,1.7,0.688,1,2.9,3.9,0.9,0.4,0.3,0.8,2,2019,SG
Stephen Holt,BRI,11,16.6,7.1,2.4,5.4,0.441,1.3,3.5,0.368,1.1,1.5,0.75,0.3,1.1,1.4,1.3,0.7,0,0.6,1.6,2019,SG
Armani Moore,NZB,24,19.8,7,2.6,6.2,0.424,0.9,2.5,0.35,0.9,1.4,0.629,0.7,3.6,4.3,1.7,0.8,0.5,1.1,2.2,2019,SG
Damian Martin,PER,28,25.1,5.6,2.2,5.8,0.372,1,3.2,0.322,0.2,0.3,0.667,1.3,2.5,3.7,4.1,1.7,0.1,1,2.2,2019,SG
A.J. Davis,BRI,12,11.8,3.8,1.6,4.2,0.38,0,0.9,0,0.7,0.8,0.8,0.6,1.3,1.8,0.3,0.3,0.3,0.8,1.9,2019,SG
Kevin White,ILL,26,17.2,3.6,1.2,3.1,0.386,0.8,2.5,0.333,0.3,0.4,0.818,0.3,1.5,1.8,1.6,0.5,0,0.4,1.7,2019,SG
Dexter Kernich-Drew,CRN,18,11.1,3.2,1,3.4,0.29,0.7,2,0.351,0.5,0.7,0.833,0.3,1.3,1.5,0.6,0.4,0.2,0.4,1.6,2019,SG
Shaun Bruce,ADE,7,8.5,2.4,0.8,2.7,0.316,0.4,1.8,0.231,0.3,0.3,1,0.1,0.4,0.6,0.7,0.4,0,0.3,1.1,2019,SG
Greg Hire,PER,34,9.7,2,0.6,1.9,0.306,0.2,0.9,0.233,0.6,0.9,0.75,1.2,1.8,3,0.9,0.3,0,0.3,1.5,2019,SG
Tom Wilson,SYD,12,2.5,0.9,0.3,0.7,0.375,0.2,0.5,0.333,0.2,0.2,1,0.1,0.2,0.3,0.2,0,0,0.1,0,2019,SG
Samuel Short,MEL,6,1.2,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.2,2019,SG
Chris Goulding,MEL,33,32,14.8,4.7,11.4,0.411,3.1,7.6,0.403,2.4,2.8,0.84,0.4,2.1,2.5,2.5,0.6,0.2,1.5,2.9,2018,SG
D.J. Newbill,NZB,30,30.6,14.1,5.2,12,0.435,1.6,4.4,0.351,2.1,3.1,0.681,1.5,2.9,4.4,3.2,1.4,0.1,2.1,2.6,2018,SG
Shannon Shorter,ADE,34,27.7,12.5,4.7,10.3,0.456,0.9,2.5,0.355,2.3,3,0.755,1,3.8,4.9,3.7,1.1,0.3,2.4,2.2,2018,SG
Travis Leslie,SYD,8,26.2,12.2,4.9,10.7,0.453,1.2,3.2,0.385,1.2,1.5,0.833,2.5,2.4,4.9,2.2,1.2,0.6,1.7,4.1,2018,SG
Mitchell McCarron,CRN,28,30.7,11.9,4,9.8,0.413,1.2,3.4,0.356,2.6,3.4,0.756,2.6,4.5,7.1,3.1,1.3,0.4,1.3,2,2018,SG
Ramone Moore,ADE,32,22.8,10.7,4.2,7.7,0.543,0.4,0.9,0.406,1.9,2.7,0.72,0.8,2.2,3,2.4,0.7,0.3,1.5,1.8,2018,SG
Kirk Penney,NZB,22,21.2,10.4,3.4,7.9,0.432,1.9,4.8,0.388,1.7,2.3,0.74,0.6,2.1,2.7,1,0.5,0.1,0.7,2,2018,SG
Stephen Holt,BRI,28,27.5,9.9,3.3,7.7,0.429,1.3,3.5,0.365,2.1,2.6,0.806,0.9,2.2,3.2,1.3,0.6,0,1.1,1.8,2018,SG
Mitchell Norton,ILL,19,21,7.6,2.6,6.4,0.403,0.8,2.4,0.348,1.6,2.4,0.681,0.3,1,1.3,2.3,0.8,0.2,0.9,2.4,2018,SG
Adam Gibson,BRI,24,26.4,7.4,2.8,5.9,0.471,1.1,3.1,0.342,0.7,0.8,0.944,0.7,2.5,3.3,3.5,0.8,0.1,1.6,2.6,2018,SG
Rhys Martin,ILL,28,18.7,5.7,2.2,5.3,0.409,0.4,1.9,0.241,0.9,1.1,0.781,0.4,1.5,1.9,2.6,1.3,0.2,1.2,1.5,2018,SG
Damian Martin,PER,28,25.7,4.7,1.9,5.6,0.338,0.8,3,0.268,0.1,0.3,0.5,1.3,2.6,3.9,3.4,1.5,0.1,1,2.1,2018,SG
Shaun Bruce,BRI,27,11.9,3,1.1,3.1,0.361,0.2,1.2,0.194,0.5,0.7,0.7,0.3,1,1.2,1.3,0.3,0.1,0.9,1.5,2018,SG
Kevin White,ILL,26,13.1,2.7,0.9,2.9,0.304,0.5,2,0.264,0.4,0.6,0.647,0.2,0.9,1,1.1,0.3,0,0.4,1.4,2018,SG
Peter Hooley,MEL,32,8.4,2.7,0.9,2.4,0.368,0.4,1.3,0.293,0.6,0.7,0.864,0.2,0.7,0.9,0.9,0.2,0,0.6,0.5,2018,SG
Dexter Kernich-Drew,PER,21,5.2,2.3,0.8,2,0.381,0.3,1.2,0.24,0.4,0.5,0.9,0.2,0.3,0.6,0.3,0,0,0.4,0.6,2018,SG
Greg Hire,PER,23,9.2,2.2,0.8,2.1,0.362,0.3,1,0.333,0.4,0.4,0.889,0.8,1.4,2.1,0.6,0.1,0,0.3,1.4,2018,SG
Indiana Faithfull,ILL,9,6.3,2,0.7,1.4,0.538,0.1,0.6,0.167,0.4,0.4,1,0,0.5,0.5,0.7,0.4,0,0.5,1.4,2018,SG
Tom Fullarton,BRI,7,4.7,1.9,0.8,1.8,0.462,0.3,1,0.286,0,0,0,0.3,0.3,0.6,0.1,0,0,0.6,0.1,2018,SG
Lochlan Cummings,PER,1,1.5,1.8,0.9,1.8,0.5,0,0.9,0,0,0.9,0,0,0,0,0,0.9,0,0,0,2018,SG
Sam Daly,SYD,9,5.3,0.7,0.2,0.7,0.333,0.1,0.5,0.25,0.1,0.2,0.5,0.1,0.5,0.6,0.3,0.1,0,0.8,0.6,2018,SG
Matthew Kenyon,BRI,4,4.5,0.5,0.3,0.5,0.5,0,0,0,0,0,0,0.3,0.3,0.5,0,0.3,0,0.3,0.5,2018,SG
Christian Jurlina,SYD,1,2.1,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2018,SG
Samuel Short,MEL,5,1,0,0,0,0,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0.4,2018,SG
Chris Goulding,MEL,22,31.3,17,5.7,13.3,0.426,3.3,8.1,0.415,2.3,2.9,0.81,0.4,1.9,2.3,2.6,1,0.1,2.1,2.4,2017,SG
Kirk Penney,NZB,28,30.6,17,5.3,12.7,0.418,3.1,7.5,0.413,3.3,4.1,0.795,0.8,2.5,3.3,2.4,0.6,0.1,2.4,2,2017,SG
Kevin Lisch,SYD,27,33.9,16.9,5.4,13.9,0.392,2.3,6.9,0.333,3.7,4.4,0.836,0.8,2.8,3.6,3.7,1.9,0.2,1.4,2.6,2017,SG
