Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Season,Position
Tyler Harvey,ILL,0.515,0.487,157.3,1.2,6.5,3.7,10.2,11.0,2.3,0.2,27.0,-3.0,1.1,99.9,115.8,-15.9,184.7,13.5,2023,SG
Samuel McDaniel,JACK,0.573,0.511,153.2,3.3,16.3,9.5,6.2,16.3,3.2,0.0,17.0,-4.0,1.3,105.6,106.5,-0.9,40.4,13.4,2023,SG
Dejan Vasiljevic,SYD,0.539,0.51,161.2,2.1,14.4,8.7,10.1,8.6,0.7,0.0,22.1,0.0,1.2,108.2,106.2,2.0,259.8,13.2,2023,SG
Michael Harris,PER,0.555,0.549,140.3,5.7,15.6,10.5,7.9,11.5,2.0,0.0,17.8,-1.1,1.2,108.7,112.8,-4.1,40.9,12.7,2023,SG
Trey Kell,SEM,0.501,0.459,152.0,3.5,11.3,7.3,15.1,10.7,1.4,0.9,20.6,1.3,1.1,108.2,112.4,-4.2,173.9,12.4,2023,SG
Daniel Grida,ILL,0.521,0.492,142.0,6.3,17.8,11.8,3.8,10.4,2.1,1.5,13.9,-1.7,1.1,108.0,114.6,-6.6,64.0,12.3,2023,SG
Jonah Antonio,CRN,0.499,0.487,148.3,6.5,11.4,8.9,2.1,6.0,1.3,2.9,15.8,-1.3,1.0,104.6,104.7,-0.1,51.0,10.4,2023,SG
Mitchell Norton,PER,0.528,0.456,143.7,4.4,6.5,5.4,15.0,18.2,1.7,0.0,14.7,0.9,1.3,106.2,115.8,-9.6,89.7,9.3,2023,SG
Kyle Adnam,SEM,0.499,0.415,151.2,1.2,6.5,3.8,19.3,16.5,0.9,0.0,21.2,0.4,1.2,102.6,116.4,-13.8,87.4,9.0,2023,SG
Sean MacDonald,JACK,0.508,0.5,138.0,3.1,8.4,5.6,10.8,12.8,1.2,0.0,15.2,0.4,1.1,103.6,113.7,-10.1,115.3,9.0,2023,SG
Shaun Bruce,SYD,0.548,0.53,143.9,3.0,10.3,6.9,18.0,20.5,0.8,0.4,13.4,2.4,1.2,107.5,107.0,0.5,129.6,8.8,2023,SG
Tai Webster,PER,0.432,0.417,124.5,6.4,7.9,7.1,22.6,14.5,1.7,0.0,21.9,2.8,0.9,96.2,118.1,-21.9,27.4,8.7,2023,SG
Rayan Rupert,NZB,0.451,0.397,129.3,3.3,10.9,7.1,8.3,14.0,2.2,1.0,20.2,-3.0,1.0,91.6,107.0,-15.4,70.3,8.7,2023,SG
Malcolm Bernard,SEM,0.538,0.538,96.2,5.3,12.7,9.1,3.8,27.8,3.4,0.0,17.0,-9.9,1.1,85.4,106.5,-21.1,7.6,8.5,2023,SG
Junior Madut,SEM,0.462,0.461,109.6,6.5,10.8,8.6,7.6,11.8,1.2,0.9,13.7,-0.3,1.0,101.8,114.0,-12.2,71.4,7.8,2023,SG
Rasmus Bach,BRI,0.466,0.382,127.2,2.8,11.0,7.1,7.4,19.7,3.8,0.0,13.7,-2.8,1.1,88.1,106.9,-18.8,36.8,7.3,2023,SG
Zac Triplett,MEL,0.46,0.45,110.0,3.2,10.6,6.8,9.0,8.4,1.6,0.0,16.1,1.0,1.0,100.2,111.4,-11.2,4.5,7.1,2023,SG
Mirko Djeric,CRN,0.495,0.429,123.5,2.8,10.4,6.6,9.0,18.6,1.3,0.0,8.9,0.4,1.2,101.2,107.1,-5.9,22.3,5.6,2023,SG
Lat Mayen,CRN,0.454,0.43,162.1,4.6,16.5,10.4,1.6,18.8,1.3,0.5,14.7,-5.6,0.9,83.2,105.3,-22.1,28.3,5.6,2023,SG
Kody Stattmann,BRI,0.438,0.383,144.0,2.7,5.8,4.3,7.1,19.5,0.8,0.7,14.0,-3.0,1.0,82.2,115.7,-33.5,9.5,3.5,2023,SG
Koen Sapwell,BRI,0.347,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.5,0.0,1.0,84.7,128.2,-43.5,-0.2,1.9,2023,SG
Antonius Cleveland,ILL,0.534,0.493,141.0,6.6,15.9,11.3,11.0,9.5,3.1,3.4,22.1,0.0,1.2,112.9,102.6,10.3,342.7,20.4,2022,SG
Josh Adams,JACK,0.53,0.484,153.8,1.6,12.6,6.7,14.6,10.4,1.8,0.5,30.0,-2.3,1.2,104.0,107.5,-3.5,262.2,17.5,2022,SG
Mitchell Norton,PER,0.606,0.559,158.2,5.1,6.1,5.7,23.0,12.3,1.1,0.6,16.8,5.2,1.5,127.2,113.8,13.4,138.1,16.7,2022,SG
Ian Clark,SYD,0.598,0.567,174.0,1.9,7.7,5.1,14.0,14.3,1.4,0.5,25.5,-2.3,1.3,111.0,112.0,-1.0,109.4,16.7,2022,SG
Tahjere McCall,CRN,0.489,0.449,132.2,4.8,15.1,10.0,35.1,17.7,3.3,1.2,28.0,0.3,1.1,97.1,104.4,-7.3,238.2,16.0,2022,SG
Shea Ili,MEL,0.583,0.528,162.1,5.1,7.7,6.4,23.2,18.9,2.9,0.3,16.6,2.9,1.4,116.6,98.9,17.7,235.7,15.4,2022,SG
Xavier Rathan-Mayes,ILL,0.479,0.46,127.9,2.9,16.3,9.6,25.3,17.3,2.0,0.8,24.2,1.6,1.0,97.6,106.5,-9.0,222.6,14.4,2022,SG
Dejan Vasiljevic,SYD,0.544,0.509,161.0,1.2,9.9,5.8,9.7,7.4,0.7,0.8,21.9,0.3,1.2,109.8,108.2,1.6,191.6,13.8,2022,SG
Hugo Besson,NZB,0.512,0.465,148.9,2.1,15.6,8.5,15.2,11.7,1.2,0.1,26.3,-1.1,1.1,99.9,117.8,-17.9,165.6,13.8,2022,SG
Chris Goulding,MEL,0.548,0.515,156.0,1.1,7.2,4.2,10.1,8.5,1.3,0.5,22.5,-0.2,1.2,112.5,102.1,10.4,185.1,13.6,2022,SG
Sunday Dech,ADE,0.48,0.451,136.4,4.6,10.4,7.4,12.5,8.4,1.6,0.6,20.2,1.1,1.1,105.7,111.7,-6.0,169.3,12.7,2022,SG
Koen Sapwell,SEM,0.333,0.333,33.3,0.0,0.0,0.0,0.0,0.0,13.1,0.0,34.4,0.0,0.7,75.2,91.1,-15.9,0.3,12.6,2022,SG
Tom Digbeu,BRI,0.561,0.5,157.2,3.4,10.2,6.9,13.9,18.8,2.0,2.0,17.8,-1.7,1.4,105.1,111.5,-6.4,55.8,12.5,2022,SG
Jason Cadee,BRI,0.573,0.529,162.4,2.5,5.9,4.2,25.2,20.1,1.5,0.1,16.7,3.2,1.3,111.3,113.8,-2.4,214.4,12.2,2022,SG
Cameron Gliddon,SEM,0.57,0.562,157.3,0.9,16.2,8.3,7.6,6.2,2.1,0.8,11.6,2.0,1.2,121.9,109.1,12.8,95.4,11.8,2022,SG
Ousmane Dieng,NZB,0.479,0.463,133.6,2.6,15.6,8.8,8.9,13.1,1.5,1.3,24.1,-3.7,1.0,89.2,113.7,-24.6,97.6,11.0,2022,SG
Anthony Drmic,BRI,0.497,0.492,120.6,5.1,11.7,8.5,12.8,9.3,1.3,0.5,16.7,1.8,1.1,106.7,111.7,-5.0,127.2,10.9,2022,SG
Mojave King,ADE,0.485,0.467,133.7,3.7,7.9,5.8,11.9,14.0,1.6,1.9,19.2,-1.3,1.1,98.0,113.2,-15.1,51.9,10.5,2022,SG
Angus Glover,SYD,0.54,0.522,139.2,2.7,12.9,8.2,13.0,15.4,1.3,1.2,13.4,1.2,1.2,106.7,103.5,3.2,141.4,10.3,2022,SG
Izayah Mauriohooho Le'Afa,SEM,0.494,0.466,155.7,2.2,8.9,5.5,10.8,11.1,1.4,0.5,15.4,1.1,1.0,105.8,114.0,-8.2,134.5,9.4,2022,SG
Marshall Nelson,CRN,0.45,0.441,113.9,1.3,11.3,6.3,20.6,12.0,0.6,1.0,20.5,1.9,1.0,93.9,115.2,-21.2,14.0,7.6,2022,SG
Kevin White,PER,0.489,0.462,152.1,1.9,7.6,4.8,19.7,21.7,1.1,0.0,13.9,2.1,1.0,98.4,111.8,-13.4,43.9,6.9,2022,SG
Tanner Krebs,BRI,0.482,0.471,130.9,2.4,13.7,8.2,7.2,17.0,1.3,1.0,17.2,-3.5,1.0,89.1,110.8,-21.7,56.8,6.9,2022,SG
Rasmus Bach,NZB,0.57,0.547,160.0,2.8,11.8,7.0,6.2,13.3,0.8,0.0,9.4,-0.1,1.2,109.3,115.6,-6.3,35.3,6.5,2022,SG
Shaun Bruce,SYD,0.386,0.352,139.3,0.9,10.1,5.7,18.4,19.5,1.0,0.2,14.0,2.2,0.8,84.4,106.7,-22.3,62.9,4.3,2022,SG
William Hickey,MEL,0.444,0.357,161.9,8.2,17.0,12.5,12.7,27.6,0.0,0.0,34.6,-15.8,1.0,76.5,97.7,-21.2,0.9,3.4,2022,SG
Sean MacDonald,JACK,0.286,0.286,28.6,0.0,16.4,7.3,20.8,22.2,1.8,0.0,13.8,2.4,0.6,67.8,106.4,-38.6,3.8,3.1,2022,SG
Yudai Baba,MEL,0.402,0.356,134.6,1.7,7.4,4.5,5.7,18.5,0.8,1.0,14.4,-3.4,0.9,77.3,103.7,-26.5,8.7,2.6,2022,SG
Mirko Djeric,CRN,0.375,0.375,52.5,0.7,6.9,3.8,12.0,13.7,0.3,0.6,13.9,0.6,0.8,78.3,110.2,-32.0,9.7,2.0,2022,SG
Bryce Cotton,PER,0.549,0.479,162.6,1.8,7.7,4.6,28.3,7.6,2.2,0.2,29.5,6.1,1.3,121.0,112.6,8.4,469.4,22.6,2021,SG
Tyler Harvey,ILL,0.547,0.515,161.0,1.2,11.4,6.0,16.6,10.5,2.4,0.3,27.9,-0.4,1.2,109.2,107.0,2.1,388.0,17.8,2021,SG
Dejan Vasiljevic,SYD,0.591,0.561,172.8,1.8,11.8,7.0,10.6,5.5,1.0,0.5,22.4,1.6,1.3,121.5,111.5,10.0,193.9,17.6,2021,SG
Angus Glover,SYD,0.7,0.7,93.3,12.5,12.5,12.5,25.2,16.7,0.0,0.0,9.8,9.1,1.4,148.2,113.2,35.0,10.9,17.3,2021,SG
Chris Goulding,MEL,0.574,0.539,169.0,1.7,8.7,5.3,12.2,8.4,1.7,0.7,24.8,0.4,1.2,115.9,106.0,9.9,299.8,16.5,2021,SG
Jack Purchase,ADE,0.938,0.938,133.9,0.0,12.5,6.5,9.4,20.0,1.5,0.0,13.2,-2.0,1.9,138.4,123.6,14.8,9.3,14.7,2021,SG
Tai Webster,NZB,0.492,0.475,136.7,3.3,14.7,8.9,28.9,16.4,2.0,0.6,30.7,-0.6,1.1,97.4,111.5,-14.1,265.9,14.6,2021,SG
Cameron Gliddon,SEM,0.604,0.579,169.6,1.6,14.0,7.7,8.5,10.1,2.7,0.8,15.3,0.5,1.3,119.6,109.0,10.5,293.2,14.1,2021,SG
Levi Randolph,NZB,0.529,0.503,159.2,3.3,9.9,6.5,7.9,8.7,2.0,0.4,24.2,-1.7,1.1,103.1,108.8,-5.7,104.8,13.8,2021,SG
Yudai Baba,MEL,0.569,0.518,163.4,2.6,9.8,6.3,9.9,13.4,2.3,1.2,17.9,-1.0,1.3,110.9,103.7,7.3,173.1,12.8,2021,SG
Daniel Grida,ILL,0.496,0.471,119.6,8.3,13.9,10.9,5.4,11.9,3.1,1.0,14.8,-1.7,1.1,103.8,103.6,0.2,54.9,12.5,2021,SG
Tad Dufelmeier Jr.,CRN,0.473,0.427,135.8,4.3,13.5,8.7,24.6,17.4,2.6,0.3,22.6,1.7,1.1,98.3,121.2,-22.9,85.4,12.3,2021,SG
Jason Cadee,BRI,0.524,0.483,152.8,0.8,8.1,4.5,20.8,10.7,1.8,0.1,16.3,5.3,1.2,115.1,114.4,0.7,261.4,11.9,2021,SG
Fabijan Krslovic,CRN,0.475,0.46,133.6,9.4,12.3,10.8,7.0,13.2,2.2,2.6,15.9,-1.7,1.0,101.0,115.7,-14.7,135.4,11.3,2021,SG
Rasmus Bach,NZB,0.61,0.585,164.3,3.4,8.6,6.0,6.1,7.8,1.5,1.2,12.4,0.5,1.3,123.9,112.6,11.3,117.9,11.1,2021,SG
Mirko Djeric,CRN,0.543,0.51,157.0,1.4,9.6,5.3,14.1,12.9,0.6,0.6,17.6,1.0,1.2,108.7,123.5,-14.8,178.6,10.7,2021,SG
Mojave King,CRN,0.503,0.483,140.7,5.0,11.5,8.2,4.6,12.7,0.9,1.1,19.5,-3.7,1.1,97.8,120.5,-22.6,93.6,9.6,2021,SG
Tanner Krebs,BRI,0.507,0.477,151.1,4.1,9.6,6.9,8.4,5.7,0.3,0.5,14.6,1.8,1.1,113.3,118.7,-5.4,72.8,9.5,2021,SG
Kevin White,PER,0.507,0.504,133.1,3.2,8.7,5.9,16.2,13.3,1.7,0.0,13.2,3.4,1.0,109.2,112.3,-3.1,99.1,8.8,2021,SG
Shaun Bruce,SYD,0.459,0.426,155.8,1.5,12.1,7.0,21.0,16.9,1.4,0.7,15.7,3.7,1.0,98.7,109.7,-10.9,186.4,8.5,2021,SG
Sunday Dech,ADE,0.491,0.47,144.2,4.0,10.2,7.2,10.3,13.8,1.7,0.3,15.0,-0.1,1.0,99.0,115.2,-16.2,212.0,8.5,2021,SG
Brendan Teys,ADE,0.49,0.466,169.1,2.8,1.9,2.3,11.2,15.2,2.1,0.0,19.4,-2.2,1.0,92.3,118.4,-26.1,22.7,8.4,2021,SG
Lamar Patterson,NZB,0.447,0.4,117.5,2.8,13.9,7.9,13.6,18.9,2.2,1.4,27.2,-7.0,1.1,84.9,112.1,-27.3,21.2,8.2,2021,SG
Samuel Short,MEL,0.546,0.529,157.8,11.1,8.5,9.8,12.2,30.4,1.3,0.0,14.3,-4.0,1.2,98.4,108.4,-10.0,16.3,8.0,2021,SG
Alex Mudronja,ADE,0.383,0.325,132.3,6.6,15.2,11.2,16.1,21.3,0.6,1.1,14.6,0.8,0.9,86.8,119.8,-33.0,18.0,6.0,2021,SG
Kendall Stephens,SEM,0.477,0.477,74.8,3.0,7.2,5.1,5.3,8.3,0.0,1.1,13.7,0.0,1.0,101.6,118.7,-17.1,8.7,5.7,2021,SG
Glen Rice,NZB,0.557,0.491,145.9,7.7,24.2,15.0,33.8,5.6,2.5,0.0,38.7,5.0,1.4,123.6,121.1,2.5,46.3,29.3,2020,SG
Melo Trimble,MEL,0.574,0.512,159.2,2.7,9.8,6.2,23.2,13.3,2.2,0.1,28.1,0.7,1.4,116.6,113.0,3.7,335.2,18.2,2020,SG
D.J. Newbill,CRN,0.643,0.598,177.5,2.1,7.4,5.0,14.7,11.0,2.0,0.4,21.5,0.9,1.5,125.7,117.0,8.8,347.3,17.5,2020,SG
Aaron Brooks,ILL,0.563,0.53,157.0,1.9,9.8,5.5,27.9,13.3,1.5,1.1,27.0,1.2,1.3,110.0,117.6,-7.6,65.3,15.5,2020,SG
Thomas Abercrombie,NZB,0.672,0.619,186.8,3.9,12.3,8.1,5.9,10.0,1.3,1.0,14.6,-0.6,1.5,131.8,116.1,15.7,254.7,14.1,2020,SG
Kevin Lisch,SYD,0.659,0.605,182.3,0.8,7.7,4.3,10.9,11.4,1.7,0.0,16.2,0.6,1.5,127.6,116.3,11.2,69.5,13.2,2020,SG
Mitchell McCarron,MEL,0.577,0.533,172.9,4.2,17.8,10.9,13.8,9.3,1.8,1.3,11.2,4.2,1.3,130.4,110.8,19.6,334.3,13.0,2020,SG
Samuel Short,MEL,0.436,0.417,183.3,7.7,6.0,6.8,15.1,12.7,8.3,0.0,19.0,1.8,1.0,101.8,99.8,2.0,4.5,12.6,2020,SG
Xavier Cooks,SYD,0.459,0.45,103.1,11.5,28.1,19.9,10.5,15.7,0.9,4.5,15.4,-0.5,1.0,102.3,102.9,-0.6,191.3,12.5,2020,SG
Cameron Gliddon,BRI,0.648,0.634,180.6,1.3,10.6,6.0,10.0,13.0,1.4,0.6,13.4,0.9,1.3,123.7,115.5,8.2,145.3,11.3,2020,SG
Ben Madgen,SEM,0.534,0.495,162.2,2.8,16.6,9.6,8.8,10.2,0.9,0.4,19.2,-0.3,1.2,110.3,121.4,-11.1,206.3,11.3,2020,SG
Shaun Bruce,SYD,0.563,0.532,168.2,0.7,6.6,3.8,23.2,13.7,1.1,0.1,17.0,5.2,1.2,115.3,111.1,4.2,165.4,11.0,2020,SG
Mirko Djeric,CRN,0.606,0.571,171.3,2.1,10.7,6.8,10.9,9.8,1.4,0.2,11.9,2.7,1.3,125.7,116.2,9.6,186.5,10.6,2020,SG
Sunday Dech,ILL,0.473,0.448,138.1,7.2,11.6,9.2,10.4,10.3,1.7,0.7,20.0,-0.4,1.0,102.2,121.1,-18.9,146.5,10.5,2020,SG
Deshon Taylor,SYD,0.586,0.519,163.6,1.0,7.0,4.1,8.4,10.8,0.7,0.8,18.7,-0.5,1.4,113.1,112.2,0.9,66.0,10.4,2020,SG
Taylor Braun,BRI,0.533,0.506,148.6,2.1,10.1,6.2,13.4,6.2,1.4,0.5,12.7,4.8,1.1,122.1,115.8,6.3,156.6,10.1,2020,SG
Didi Louzada,SYD,0.503,0.485,140.5,2.5,13.8,8.3,10.6,12.1,1.3,1.0,21.6,-1.3,1.1,98.4,108.1,-9.7,134.0,9.9,2020,SG
Kevin White,ADE,0.619,0.6,187.3,6.2,9.6,7.9,16.4,18.1,1.1,0.8,8.0,4.6,1.3,133.1,118.6,14.6,55.4,8.9,2020,SG
Damian Martin,PER,0.354,0.335,126.8,6.4,11.6,8.9,18.8,16.8,3.4,0.5,12.6,4.9,0.7,96.9,114.9,-18.1,136.0,8.8,2020,SG
Brendan Teys,ADE,0.494,0.455,172.6,5.2,4.8,5.0,10.8,8.4,1.3,0.2,12.7,2.4,1.1,114.4,120.0,-5.6,84.7,8.1,2020,SG
Ramone Moore,ADE,0.463,0.42,162.5,4.9,9.9,7.5,17.2,18.5,1.3,0.5,20.2,-0.9,1.0,95.8,120.2,-24.3,77.3,7.9,2020,SG
Devondrick Walker,SEM,0.456,0.435,145.1,0.7,15.1,7.5,6.5,8.5,2.0,0.0,20.6,-0.9,1.0,93.2,125.7,-32.5,24.5,7.9,2020,SG
Darington Hobson,ILL,0.363,0.333,115.4,4.8,18.2,11.0,24.9,22.1,2.6,0.7,20.0,1.4,0.8,81.4,120.1,-38.7,67.8,6.7,2020,SG
Lamar Patterson,BRI,0.55,0.496,159.5,4.8,19.9,12.6,21.7,14.0,2.4,0.4,28.8,-0.4,1.3,109.8,111.4,-1.7,278.6,19.3,2019,SG
Kevin Lisch,SYD,0.581,0.543,159.8,1.5,6.8,4.3,15.3,7.6,2.2,0.2,18.9,3.5,1.3,119.9,114.4,5.6,282.0,16.2,2019,SG
Tim Coenraad,ILL,0.594,0.572,154.6,6.4,19.5,12.9,8.7,9.9,1.3,1.5,21.0,-1.2,1.3,114.8,110.3,4.5,160.9,15.8,2019,SG
Mitchell McCarron,MEL,0.599,0.55,172.9,4.2,13.9,9.0,13.6,11.8,1.9,0.7,15.7,1.9,1.4,123.6,110.4,13.2,354.2,15.8,2019,SG
Jordair Jett,ILL,0.513,0.49,134.0,2.1,11.4,6.7,19.3,13.3,3.3,1.3,24.3,0.2,1.2,99.5,109.3,-9.8,195.9,14.2,2019,SG
Stephen Holt,BRI,0.591,0.559,155.9,2.0,8.5,5.1,11.7,9.6,2.2,0.0,17.8,1.3,1.3,118.1,115.1,3.0,46.1,13.4,2019,SG
Chris Goulding,MEL,0.529,0.504,159.6,2.4,7.0,4.7,14.4,9.7,1.2,0.3,23.6,0.8,1.1,110.6,115.1,-4.5,204.5,13.3,2019,SG
Damian Martin,PER,0.469,0.462,136.0,5.5,10.3,8.0,22.4,14.0,3.5,0.4,11.7,7.3,1.0,115.2,108.0,7.2,225.9,13.1,2019,SG
Armani Moore,NZB,0.514,0.493,140.2,3.6,20.5,11.9,12.0,13.5,2.1,2.3,17.3,0.3,1.1,105.0,111.3,-6.3,145.5,12.5,2019,SG
Greg Hire,PER,0.444,0.363,129.0,12.9,19.7,16.4,12.0,12.9,1.8,0.3,11.5,2.5,1.1,114.8,107.0,7.8,100.1,11.5,2019,SG
Corey Webster,NZB,0.49,0.469,151.7,1.3,8.7,4.9,15.9,10.6,1.5,0.8,23.0,1.6,1.0,103.2,119.4,-16.2,130.1,11.1,2019,SG
Tom Wilson,SYD,0.563,0.5,170.8,3.8,7.7,5.7,9.5,10.1,0.0,0.0,14.8,1.2,1.3,118.4,120.2,-1.9,6.9,10.9,2019,SG
Ramone Moore,ADE,0.495,0.469,139.0,4.6,9.9,7.3,23.4,19.6,1.7,1.0,18.2,2.1,1.1,101.7,108.3,-6.7,125.4,10.2,2019,SG
Devon Hall,CRN,0.477,0.448,145.1,4.0,14.2,8.9,13.4,11.8,1.3,0.9,16.6,1.2,1.0,101.8,114.9,-13.0,188.0,9.7,2019,SG
Kevin White,ILL,0.541,0.518,153.7,2.0,10.1,6.0,13.0,10.2,1.4,0.2,9.4,3.8,1.1,116.4,115.6,0.9,88.6,8.0,2019,SG
Dexter Kernich-Drew,CRN,0.438,0.395,147.5,2.7,13.9,8.0,8.3,9.4,1.7,1.3,16.1,0.2,1.0,95.6,113.2,-17.6,28.8,6.6,2019,SG
Shaun Bruce,ADE,0.428,0.395,154.7,1.9,5.5,3.8,11.0,9.1,2.5,0.0,15.3,2.2,0.9,102.8,122.2,-19.4,7.1,6.4,2019,SG
A.J. Davis,BRI,0.423,0.38,118.0,5.6,11.5,8.6,3.2,14.2,1.1,2.5,19.5,-5.0,0.9,84.8,113.0,-28.2,12.6,5.4,2019,SG
Lochlan Cummings,PER,0.41,0.5,50.0,0.0,0.0,0.0,0.0,0.0,45.5,0.0,101.4,0.0,1.0,0.0,17.1,-17.1,1.0,56.3,2018,SG
Mitchell McCarron,CRN,0.526,0.475,152.4,9.0,17.8,13.1,17.2,10.5,2.2,1.2,17.9,2.7,1.2,117.9,114.2,3.7,328.7,16.5,2018,SG
Ramone Moore,ADE,0.601,0.567,167.0,4.7,10.3,7.7,17.2,14.0,1.5,1.0,20.4,0.6,1.4,118.2,107.4,10.8,234.6,14.8,2018,SG
Travis Leslie,SYD,0.537,0.512,167.1,10.7,11.5,11.1,14.6,13.3,2.5,2.1,22.6,-0.9,1.1,109.2,118.4,-9.2,65.6,14.6,2018,SG
Kirk Penney,NZB,0.584,0.55,156.0,3.1,11.3,7.2,7.8,7.3,1.3,0.4,19.5,-0.1,1.3,125.7,117.0,8.7,127.0,14.5,2018,SG
D.J. Newbill,NZB,0.528,0.5,146.7,5.2,10.8,7.9,17.3,13.8,2.3,0.3,21.9,0.0,1.2,110.5,114.7,-4.2,263.8,14.1,2018,SG
Shannon Shorter,ADE,0.541,0.5,156.5,4.7,14.9,10.2,21.0,17.2,2.1,0.9,22.6,0.1,1.2,107.5,104.2,3.3,310.9,13.6,2018,SG
Chris Goulding,MEL,0.587,0.546,165.5,1.3,7.4,4.3,12.0,10.7,1.0,0.5,19.4,0.5,1.3,119.5,111.5,8.1,247.8,12.5,2018,SG
Rhys Martin,ILL,0.488,0.451,143.1,2.6,9.7,6.0,21.1,16.8,3.7,0.8,17.0,2.7,1.1,101.0,110.0,-9.0,137.4,10.9,2018,SG
Adam Gibson,BRI,0.588,0.561,175.8,3.5,11.1,7.5,19.8,20.0,1.5,0.3,13.6,3.0,1.2,113.3,119.3,-6.0,162.0,10.6,2018,SG
Stephen Holt,BRI,0.564,0.512,159.9,4.4,9.4,7.0,7.1,11.3,1.1,0.0,16.6,-1.0,1.3,112.6,121.1,-8.5,158.7,10.5,2018,SG
Damian Martin,PER,0.414,0.411,110.6,5.6,11.2,8.3,18.4,14.4,3.1,0.5,11.1,5.3,0.8,107.1,111.5,-4.4,189.6,9.9,2018,SG
Mitchell Norton,ILL,0.511,0.468,143.2,1.7,5.8,3.7,17.5,11.1,1.9,0.7,18.0,2.8,1.2,107.0,115.0,-7.9,78.2,9.8,2018,SG
Indiana Faithfull,ILL,0.644,0.577,170.5,0.0,10.6,5.1,16.9,25.3,3.5,0.0,15.1,-0.5,1.5,108.4,110.1,-1.7,10.4,9.4,2018,SG
Greg Hire,PER,0.481,0.436,158.4,9.2,16.9,13.0,9.5,12.1,0.8,0.0,12.2,1.2,1.0,114.9,116.7,-1.9,46.7,9.0,2018,SG
Peter Hooley,MEL,0.508,0.447,152.5,2.4,10.0,6.1,15.3,17.4,1.1,0.3,16.8,0.5,1.1,104.2,110.2,-6.0,54.9,8.9,2018,SG
Dexter Kernich-Drew,PER,0.506,0.452,152.1,5.1,7.3,6.2,10.2,14.7,0.0,0.9,22.0,-3.2,1.1,103.3,117.3,-14.0,15.8,8.6,2018,SG
Tom Fullarton,BRI,0.538,0.538,74.7,7.1,7.8,7.4,5.0,23.5,0.0,0.0,23.3,-9.5,1.1,85.6,123.8,-38.1,4.1,6.4,2018,SG
Shaun Bruce,BRI,0.436,0.398,125.5,2.8,9.4,6.2,16.3,20.7,1.3,0.5,16.6,-0.2,1.0,87.6,119.4,-31.8,38.6,5.3,2018,SG
Kevin White,ILL,0.422,0.392,121.5,1.6,7.9,4.7,11.8,11.3,1.2,0.3,12.6,2.3,0.9,94.8,116.8,-22.0,36.5,4.6,2018,SG
Matthew Kenyon,BRI,0.5,0.5,50.0,7.5,6.8,7.1,0.0,33.3,3.0,0.0,8.3,-6.1,1.0,80.8,123.6,-42.8,1.3,4.0,2018,SG
Samuel Short,MEL,0.0,0.0,0.0,21.6,0.0,11.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.8,112.9,110.9,0.0,1.6,2018,SG
Nathan Sobey,ADE,0.565,0.499,164.4,3.8,15.8,10.1,24.5,11.3,1.9,0.9,23.7,3.3,1.3,120.7,105.1,15.6,344.5,19.5,2017,SG
Kevin Lisch,SYD,0.533,0.475,156.2,2.6,10.1,6.3,19.2,8.3,2.9,0.5,22.8,3.2,1.2,114.8,111.0,3.8,292.4,17.9,2017,SG
Mitchell Creek,ADE,0.635,0.601,172.1,9.3,14.2,11.9,12.1,15.6,2.0,0.7,19.1,-1.9,1.5,121.7,103.5,18.2,191.8,17.8,2017,SG
Chris Goulding,MEL,0.584,0.552,165.0,1.3,7.2,4.2,13.9,12.4,1.6,0.4,24.0,-1.0,1.3,112.9,111.7,1.2,181.0,16.3,2017,SG
Kirk Penney,NZB,0.585,0.54,162.6,3.2,9.1,6.2,13.7,14.2,1.0,0.3,24.6,-2.6,1.3,113.0,111.7,1.2,231.9,15.3,2017,SG
Cameron Gliddon,CRN,0.594,0.56,163.1,2.5,10.6,6.5,18.4,14.1,2.3,0.8,16.8,2.1,1.3,116.8,112.1,4.7,255.5,15.1,2017,SG
Ramone Moore,MEL,0.515,0.492,147.8,4.9,10.8,7.8,15.8,12.5,1.7,0.8,23.6,-0.3,1.1,104.0,110.2,-6.2,112.7,14.9,2017,SG
Adam Gibson,BRI,0.612,0.565,181.3,2.3,8.6,5.6,21.1,16.4,1.8,0.6,14.9,3.4,1.3,124.3,115.6,8.6,167.6,14.3,2017,SG
Mitchell McCarron,CRN,0.567,0.49,166.3,7.1,15.7,11.3,11.0,10.7,1.3,0.5,16.0,0.7,1.4,119.9,112.9,7.0,165.9,14.3,2017,SG
Kevin White,ILL,0.584,0.563,152.9,2.4,8.5,5.4,16.6,11.0,2.7,0.2,13.1,3.7,1.3,121.4,109.4,12.0,129.0,12.2,2017,SG
Greg Hire,PER,0.576,0.545,145.3,8.2,17.0,12.5,10.8,16.2,1.1,0.5,11.6,0.5,1.4,118.9,108.7,10.2,107.8,11.4,2017,SG
Garrett Jackson,SYD,0.482,0.421,105.7,15.2,21.2,17.8,10.1,22.7,1.5,1.3,19.3,-6.2,1.2,93.4,111.0,-17.6,18.2,11.2,2017,SG
