Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,Season,Position
Scott Machado,CRN,0.411,0.361,130.9,0.5,11.9,6.4,35.0,18.9,1.2,0.4,25.0,2.4,0.9,87.0,112.2,-25.3,97.0,8.0,2022,PG
Iggy Mitchell,SYD,0.568,0.0,50.0,18.4,0.0,7.3,0.0,0.0,0.0,0.0,5.4,0.0,0.0,156.0,105.0,51.1,1.2,8.0,2022,PG
Owen Foxwell,SEM,0.508,0.5,142.9,11.4,5.8,8.6,6.3,11.3,1.2,0.0,9.2,0.8,1.1,119.9,119.9,0.0,5.9,7.8,2022,PG
Chasson Randle,NZB,0.505,0.462,146.8,2.7,5.4,3.9,7.9,13.8,1.4,0.5,21.5,-3.4,1.1,93.1,117.9,-24.8,30.9,7.7,2022,PG
Jarrod Kenny,CRN,0.541,0.518,152.1,2.3,8.4,5.4,19.0,25.6,0.7,0.6,10.8,1.8,1.2,100.6,113.9,-13.3,59.8,6.8,2022,PG
Kyle Zunic,PER,0.359,0.329,108.3,2.8,11.5,7.4,10.1,13.7,1.6,0.0,12.1,1.3,0.8,85.5,109.5,-24.0,22.9,5.3,2022,PG
Nathan Sobey,BRI,0.598,0.55,172.6,2.3,12.6,7.6,22.9,12.8,1.4,0.6,25.7,1.5,1.3,118.3,113.2,5.1,486.2,19.3,2021,PG
Scott Machado,CRN,0.522,0.482,156.8,2.1,10.7,6.3,38.9,16.8,1.6,0.1,26.4,5.2,1.1,107.5,120.3,-12.8,379.7,16.4,2021,PG
Keifer Sykes,SEM,0.515,0.486,164.3,2.6,10.9,6.6,30.5,12.9,1.5,0.2,26.5,4.6,1.1,108.8,114.9,-6.1,242.4,16.2,2021,PG
Justin Simon,ILL,0.46,0.444,118.5,7.4,16.3,11.6,13.1,8.7,3.8,2.4,18.0,2.0,1.0,104.3,101.3,3.0,349.4,15.7,2021,PG
Kyle Adnam,SEM,0.529,0.478,161.0,2.0,7.8,4.8,25.4,13.0,1.6,0.0,26.3,3.0,1.2,109.3,114.3,-4.9,241.4,15.2,2021,PG
Corey Webster,NZB,0.534,0.508,163.1,2.2,12.4,7.3,20.5,12.9,1.8,0.1,25.9,0.2,1.1,104.9,111.2,-6.3,200.4,14.9,2021,PG
Josh Giddey,ADE,0.51,0.479,140.9,4.0,20.8,12.8,36.3,23.7,1.8,1.4,19.5,5.1,1.1,102.8,108.5,-5.7,376.2,14.7,2021,PG
Mitchell McCarron,MEL,0.53,0.49,159.4,3.9,15.1,9.7,24.5,17.5,2.3,1.0,16.2,4.8,1.2,113.0,102.9,10.2,452.2,14.4,2021,PG
Mitchell Norton,PER,0.542,0.463,156.4,4.8,11.6,8.2,23.2,16.1,1.9,0.0,17.1,4.1,1.3,114.9,110.7,4.3,301.5,14.3,2021,PG
Casper Ware,SYD,0.526,0.473,152.9,1.5,8.7,5.2,21.7,13.6,1.1,0.2,25.9,0.8,1.2,105.7,111.9,-6.2,317.5,14.0,2021,PG
William McDowell-White,NZB,0.483,0.472,147.6,2.7,14.8,8.8,29.6,13.3,1.5,1.4,16.0,7.9,1.0,109.1,110.0,-0.9,189.9,13.3,2021,PG
Izayah Mauriohooho Le'Afa,SEM,0.558,0.547,155.9,2.1,12.1,7.0,17.0,16.7,3.0,0.4,18.6,0.7,1.2,106.4,108.1,-1.6,130.6,12.6,2021,PG
Emmett Naar,ILL,0.469,0.434,152.4,3.0,7.8,5.2,28.2,16.9,1.3,0.0,15.8,6.6,1.0,104.9,111.4,-6.5,131.5,11.0,2021,PG
Shea Ili,MEL,0.544,0.505,162.1,3.9,10.6,7.3,15.4,17.2,1.7,0.6,17.6,0.4,1.2,107.5,105.8,1.7,146.3,10.9,2021,PG
Lachlan Timothy Dent,ILL,0.447,0.447,79.7,4.2,4.8,4.5,28.5,17.4,3.1,0.0,20.5,3.9,0.9,97.3,110.1,-12.8,11.5,10.8,2021,PG
Isaac White,ILL,0.548,0.509,165.4,3.2,12.3,7.4,7.2,14.0,1.1,0.0,18.4,-2.7,1.2,105.1,111.0,-5.9,68.2,10.5,2021,PG
Jeremy Kendle,ADE,0.49,0.471,141.3,1.3,6.0,3.5,25.8,17.9,2.5,0.0,24.3,0.8,1.0,94.9,127.3,-32.4,18.3,10.4,2021,PG
Daniel Dillon,ADE,0.505,0.473,129.0,2.6,10.1,6.5,22.8,17.8,1.6,0.5,15.1,3.9,1.2,104.3,115.9,-11.6,93.3,10.3,2021,PG
Jeremy Kendle,NZB,0.577,0.531,153.8,0.0,12.5,6.4,0.0,14.2,0.0,0.0,23.8,-7.3,1.3,100.4,106.4,-6.0,5.9,9.6,2021,PG
Lochlan Hutchison,SYD,0.414,0.4,113.3,5.2,12.1,8.7,17.3,15.5,2.3,3.8,12.9,2.9,0.9,97.5,103.8,-6.4,9.2,8.4,2021,PG
Adam Gibson,SEM,0.485,0.468,142.8,3.6,9.2,6.3,11.9,12.8,1.3,0.0,13.3,1.7,1.0,104.2,114.0,-9.8,52.0,7.6,2021,PG
Tamuri Wigness,BRI,0.428,0.422,125.4,4.2,8.7,6.5,13.7,15.6,2.0,0.8,15.7,0.5,0.9,91.4,111.4,-20.0,53.6,7.4,2021,PG
Donald Sloan,ADE,0.514,0.433,162.5,0.8,6.4,3.9,18.5,18.6,0.0,0.0,18.7,0.4,1.2,98.5,113.2,-14.7,23.2,7.3,2021,PG
Jarrad Weeks,SYD,0.615,0.615,86.2,1.7,14.7,8.0,11.3,18.8,0.0,0.0,11.9,-0.6,1.2,108.0,108.5,-0.4,10.2,7.2,2021,PG
Jarrod Kenny,CRN,0.483,0.478,123.5,3.2,9.9,6.5,16.2,17.2,1.1,0.0,11.1,3.3,1.0,105.3,121.5,-16.3,79.3,6.8,2021,PG
Jarrad Weeks,NZB,0.482,0.434,133.0,0.5,7.6,4.1,12.9,20.8,0.7,0.0,17.3,-2.4,1.1,89.6,116.3,-26.7,20.3,5.0,2021,PG
Bryce Cotton,PER,0.568,0.514,166.2,1.6,12.1,6.7,20.3,9.3,2.3,0.1,28.4,2.1,1.3,118.5,116.8,1.7,472.0,20.5,2020,PG
Bijan Johnson,ADE,0.515,0.333,133.3,0.0,12.5,6.3,0.0,20.5,17.4,0.0,24.1,-10.6,1.3,89.0,84.7,4.2,3.0,19.6,2020,PG
John Roberson,SEM,0.634,0.599,182.4,1.1,7.5,4.2,28.2,12.9,1.3,0.0,25.9,4.3,1.4,125.8,123.3,2.5,348.0,19.3,2020,PG
Scott Machado,CRN,0.582,0.533,172.7,1.7,11.0,6.8,36.0,18.0,2.2,0.1,23.6,5.9,1.3,116.9,115.0,1.9,417.3,17.2,2020,PG
Corey Webster,NZB,0.555,0.532,174.1,3.6,9.9,6.8,24.1,11.4,1.2,1.0,28.5,1.7,1.2,110.9,116.4,-5.6,123.4,17.0,2020,PG
LaMelo Ball,ILL,0.464,0.427,135.0,5.6,20.5,12.4,36.9,12.0,2.6,0.6,27.7,6.3,1.0,105.0,111.3,-6.2,165.5,16.5,2020,PG
Dzherom Rendl,ADE,0.555,0.507,170.0,1.7,9.9,5.8,25.0,11.7,1.2,0.0,27.3,2.1,1.2,114.9,118.8,-3.9,285.2,16.2,2020,PG
Lachlan Timothy Dent,ILL,0.625,0.625,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.7,0.0,1.3,128.8,133.3,-4.6,1.5,15.9,2020,PG
Sek Henry,NZB,0.573,0.551,154.9,2.5,6.5,4.5,18.6,9.1,1.9,0.9,20.5,4.1,1.2,120.4,117.8,2.6,239.1,15.5,2020,PG
Kyle Adnam,SEM,0.596,0.552,169.9,2.4,3.9,3.1,23.0,15.5,2.0,0.0,22.7,2.0,1.3,116.5,122.8,-6.3,143.9,15.3,2020,PG
Nathan Sobey,BRI,0.53,0.476,167.6,2.8,13.2,8.1,19.7,10.5,1.1,0.2,27.2,1.7,1.2,111.6,115.6,-4.0,253.0,15.2,2020,PG
Jason Cadee,BRI,0.622,0.596,161.9,2.1,8.2,5.2,14.0,6.7,1.2,0.0,17.3,3.8,1.4,131.5,117.3,14.2,217.3,14.8,2020,PG
